Unitprice,Expire date,Outbound number,Total outbound,Pal grossweight,Pal height,Units per pal
0.5986,0,0,0,80,0.4,400
0,0,0,0,156,0.84,1200
0,0,0,0,0,0.3,50
0,0,5,8,100,0,40
0,0,7,27,92,0.78,32
0,0,0,0,0,0,0
0.324,0,29,37,210,0,50
7.98,0,0,0,80,0.4,400
1.47,0,0,0,0,0,0
0,0,2,2,272,1.36,96
8,0,0,0,40,0.6,100
0,0,0,0,0,0.6,25
1.0409,0,0,0,80,0.4,400
20,0,1,3,160,0.8,80
5.905,0,6,15,240,0,400
0,0,0,0,0,0.35,50
2.5,0,2,24,225,0,1500
0,0,1,9,146.6,0.5,1600
0,0,0,0,480,2,400
0,0,3,17,0,0.5,50
31,0,1,9,93,0.78,600
0,0,0,0,146.6,0.5,1600
0,0,2,57,160,1.25,1600
0,0,0,0,38.4,0.6,600
6.333,0,0,0,0,0,8
18,0,2,8,66,0.6,600
0,0,1,1,93.6,0.78,600
0,0,1,8,93.6,0.78,600
0,0,0,0,0,0,10
40,0,0,0,0,0,216
0,0,0,0,0,0.25,20
0,0,0,0,42.4,0.5,1000
0,0,1,3,93.6,0.78,600
0,0,1,4,93.6,0.78,600
0,0,0,0,20,1,80
0,0,0,0,0,0.3,5
0,0,0,0,0,0,3
0,0,9,278,102.5,0.4,5000
18,0,1,2,42.4,0.5,1000
0,0,0,0,93.6,0.78,600
0,0,0,0,0,0.6,6
3.643,0,0,0,0,0.35,500
0,0,0,0,0,0,0
0,0,0,0,0,0.25,500
0,0,0,0,93.6,0.78,600
34.85,0,0,0,0,0.2,20
0,0,0,0,0,0,0
0,0,0,0,0,0.25,100
0,0,0,0,0,0,5
0,0,0,0,0,0,0
0,0,0,0,0,0.5,10
0.4,0,45,407,320,1,8000
0,0,9,260,52.8,0.6,4800
0,0,2,14,9.6,0.7,80
0,0,0,0,15,0.15,1
0.4916,0,14,359,45,0.6,1800
0,0,0,0,0,0.3,500
0,0,2,4,0,0,0
0,0,1,200,102.5,0.4,5000
0,0,57,701,102.5,0.4,5000
0,0,3,6,432,1.19,864
0,0,8,36,226.8,1.2,720
0.348,0,6,1412,48,0.6,8000
0,0,0,0,24,0.5,120
15.96,0,9,23,36,0.5,240
0,0,14,162,20,0.25,12480
1.038,0,0,0,120,0.6,1200
0,0,1,16,120,0.6,2400
0.695,0,128,1566,249.6,0.9,1152
0.043,0,253,5430,54,0.9,2250
0,547,0,0,249.6,0,384
0,547,0,0,249.6,0,384
0,547,0,0,249.6,0,384
0,547,0,0,211.2,0,384
518.592,0,1,1,1,0.04,2
0,0,1,1,45,1,10
0,0,1,3,12.5,0.35,25
0,0,0,0,40,0.25,20
0,0,0,0,0.8,0.3,4
0,0,0,0,1.2,0.2,4
0,0,0,0,144,1.44,8
291.205,0,0,0,345,0.75,5
0,0,0,0,1.2,0.2,5
13.342,547,2,2,257.67,0.84,21
0,547,0,0,221,1.18,72
0,0,0,0,80,0.8,3200
0,0,0,0,80,0.8,3200
3.735,547,0,0,221.04,1.05,72
1.96,730,14,18,336.96,0.9,288
1.87,730,16,26,336.96,0.9,288
1.66,730,10,11,336.96,0.9,288
1.801,730,7,10,336.96,0.9,288
1.489,547,2,2,147.6,1.17,180
3.508,547,0,0,221.04,1.05,72
16.502,547,1,1,147.24,0.48,12
2.435,547,2,3,166,1.19,108
2.892,734,0,0,175.5,1.02,108
2.82,547,0,0,175.5,1.02,108
2.82,547,0,0,175.5,1.02,108
3.768,547,0,0,230.4,1.02,108
0,0,0,0,10,0.4,400
2.827,547,1,3,226.8,1.02,108
11.743,547,2,2,325.12,0.8,32
21.2,365,0,0,300,0.84,21
19.26,365,0,0,300,0.84,21
17.76,365,0,0,300,0.84,441
21.084,365,0,0,300,0.84,21
20.74,365,0,0,548,1.5,30
0,365,0,0,177,1.02,72
10.99,547,0,0,243.84,0.72,32
11.81,547,0,0,293.12,0.8,32
0.12,547,0,0,105.6,0.6,1920
0.18,547,2,640,105.6,0.6,1920
0.015,547,1,80,105.6,1.56,1920
0.006,547,8,1860,105.6,1.56,1920
0.192,547,9,1500,105.6,1.56,1920
0.2,547,4,980,105.6,1.56,1920
0.031,547,3,200,105.6,1.56,1920
0.207,547,8,2300,105.6,1.56,1920
0.204,547,3,979,105.6,1.56,1920
3.234,547,0,0,226.8,1.02,108
11.174,547,0,0,293.12,0.8,32
13.289,547,1,1,325.12,0.8,32
2.318,547,0,0,165.78,1.02,108
9.298,547,1,1,261.12,0.72,32
5.477,547,4,6,293.76,1.05,72
1.34,547,0,0,207.68,1,384
5.617,547,3,3,293.76,1.05,72
12.049,547,0,0,325.12,0.8,32
9.032,547,0,0,261.12,0.72,32
1.07,547,0,0,207.68,1,384
0.969,547,7,9,167.68,1,384
23.604,365,0,0,578.1,1.2,30
10.783,547,0,0,293.12,0.8,32
0,365,54,182,183,0.9,72
0,365,35,161,147,0.9,72
0,365,24,65,147,0.9,72
0,365,37,172,147,0.9,72
21.78,365,0,0,578,1.2,30
0,365,0,0,578,1.2,30
0.2,547,9,1140,98,1.56,1920
0.16,0,1,420,105.6,1.56,1920
0.057,547,2,720,105.6,1.56,1920
0.18,547,11,2280,105.6,1.56,1920
0.204,547,4,1640,105.6,1.56,1920
0,547,0,0,105.6,1.56,1920
0.5,0,0,0,50.4,0.5,2400
0.5,0,0,0,50.4,0.5,2400
0.2,547,1,140,105.6,1.56,1920
0.013,547,1,20,105.6,1.56,1920
15.18,365,3,3,258,0.84,21
16.52,547,0,0,293.12,0.8,32
6.339,547,0,0,261.54,1.05,72
4.39,547,0,0,226.8,1.02,108
15.94,547,0,0,325.12,0.8,32
18.199,547,0,0,325.12,0.8,32
6.98,547,0,0,293.76,1.05,72
14.71,547,0,0,293.12,0.8,32
6.12,547,0,0,261.54,1.05,72
7.27,547,0,0,261.54,1.05,72
3.68,547,0,0,226.8,1.02,108
2.55,547,0,0,165.78,1.02,108
4.84,547,0,0,226.8,1.02,108
1.98,547,0,0,147.6,1.17,180
0,0,1,23,33.6,1.2,56
3.17,547,0,0,226.8,1.02,108
0,0,0,0,400,0,200
1.344,0,0,0,190.6,1.2,576
1.344,0,6,161,190.6,1.2,576
0,547,0,0,105.6,1.56,1920
0.216,547,2,180,105.6,1.56,1920
0.194,547,0,0,105.6,1.56,1920
13.4904,547,0,0,325.12,1.19,32
12.249,547,12,28,325.12,0.8,32
0,547,6,1100,105.6,1.56,1920
0.24,547,5,900,105.6,1.56,1920
0.063,547,1,440,105.6,1.56,1920
0.216,547,10,1800,105.6,1.56,1920
0.216,547,11,2060,105.6,1.56,1920
0.192,547,9,1520,105.6,1.56,1920
0,547,3,540,105.6,1.56,1920
0,547,0,0,105.6,1.56,1920
3.441,547,0,0,226.8,1.02,108
0,0,3,8,210.24,1.2,144
0,0,4,134,180,1,900
0,0,58,936,128,0.8,12800
0,0,0,0,250,1,2500
0,0,0,0,250,1,2500
9.255,547,4,4,228,0.72,32
9.29,547,2,3,228,0.72,32
0.18,547,46,506,98,0.36,1920
0.01,547,2,1020,98,0.39,1920
0.107,547,0,0,98,1.56,1920
0.228,547,3,1440,98,1.56,1920
0.228,0,0,0,0,0,0
9.304,547,1,1,228,1.19,32
4.325,547,0,0,221,1.18,72
1.76,730,7,14,322.56,1.05,288
0.204,547,0,0,0,0,0
0.156,547,0,0,98,1.19,1920
0.17,547,67,653,105.6,0,1920
0.22,547,171,1560,79.2,0,1440
0.19,547,131,1070,105.6,0,1920
0.21,547,181,1545,79.2,0,1440
0.15,547,0,0,105.6,1.56,1920
0.15,547,0,0,105.6,1.56,1920
0.14,547,89,650,105.6,0,1920
0.12,547,89,640,105.6,0,1920
0,0,0,0,207,1.2,180
0,0,0,0,800,1.2,2500
6.35,0,19,119,92.8,1.2,160
2.94,0,4,115,36,1.19,180
0.133,0,15,155,105.6,1.19,1920
0,0,0,0,105.6,1.19,1920
0,0,0,0,105.6,1.19,1920
0.043,0,69,665,105.6,1.19,1920
0.14,0,0,0,105.6,1.19,1920
1.95,547,0,0,314.88,1.2,384
1.62,547,0,0,262.4,1.13,384
0,547,3,660,105.6,1.2,1920
0.063,547,0,0,105.6,1.56,1920
0.195,547,0,0,105.6,1.2,1920
0.18,547,5,480,105.6,1.2,1920
0.017,547,0,0,105.6,1.2,1920
0,547,0,0,105.6,1.2,1920
1.59,547,0,0,226.08,1.191,180
1.82,547,0,0,226.08,1.02,180
1.5,547,0,0,226.08,1.02,180
2.38,547,1,1,226.08,1.19,180
0,0,13,2430,12.6,1.19,4200
0,0,56,1320,96,0,384
1.78,0,2,59,420,1.19,2100
0,0,0,0,250,0,2500
13.354,547,1,2,259.2,0,32
11.074,547,1,1,259.2,0,32
18.1,547,14,24,641.34,0,42
18.22,547,0,0,641.34,0,42
3.829,456,52,131,502.74,0,630
3.91,547,0,0,502.74,0,630
4.2,456,2,3,502.74,0,630
4.58,456,0,0,502.74,0,630
4.49,456,0,0,502.74,0,630
1.94,0,12,525,60,0,1200
0,0,31,476,324,0,648
0,0,29,2979,192,0,1600
3.298,547,0,0,223.2,0,108
14.55,547,0,0,325.12,0,32
18.45,365,4,16,657.72,0,36
12.47,547,0,0,325.12,0,32
11.49,547,3,12,124.92,0,180
1.04,0,172,1979,224.64,0,1728
0.13,547,132,1100,105.6,0,1920
0.17,547,131,1060,105.6,0,1920
0.2,547,117,832,105.6,0,1920
0,547,0,0,105.6,0,1920
0.17,547,0,0,105.6,0,1920
0,547,0,0,105.6,0,1920
0,547,57,412,105.6,0,1920
1.86,0,2,62,64,0,3200
0.62,0,34,401,1.6,0,8000
4.35,0,0,0,0,0,360
0,0,15,523,28.8,0,288
0,0,0,0,225,0,1500
1.5,0,2,200,450,0,2500
0,547,8,63,176,0,32
0.532,730,0,0,163.584,0,384
0,0,13,468,160,0,40000
0,0,29,516,240,0,60000
6.05,547,0,0,226.8,0,108
0,0,4,70,84,0,120
0,0,0,0,19.2,0,48
3.27,547,0,0,262.98,1.19,108
0.18,547,49,421,96,0,1920
0.18,547,52,446,96,0,1920
0.869,730,2,4,180.48,0,384
0,0,126,132,92.4,0,132
0,0,0,0,20.16,0,144
2.76,730,0,0,336.96,0,288
0.94,547,0,0,159.36,0,384
0,547,82,690,105.6,0,1920
0,547,89,590,105.6,0,1920
0,547,66,540,105.6,0,1920
0,0,1,3,3,0,1
0,0,1,2,5,0,1
0,0,0,0,100,0,5
0,0,1,2,90,0,18
0,730,0,0,322.56,0,288
0,0,54,621,330,0,6000
0,0,80,1603,25,0,2500
0,730,0,0,322.56,0,288
0,0,0,0,250,0,2500
0,0,0,0,84,0,120
0,0,0,0,92.8,0,160
0,0,0,0,3.37,0,1
0,0,0,0,8.28,0,2
0,0,0,0,2.7,0,10
0,0,0,0,2.7,0,10
0,0,0,0,8.67,0,1
0,0,0,0,6.55,0,1
0,0,0,0,4.37,0,1
0,0,0,0,5.47,0,1
0,0,0,0,20,0,1
0,0,0,0,14.06,0,1
0,0,0,0,50,0,100
0,0,2,6,94.14,0,6
0,547,0,0,105.6,0,1920
0,0,8,115,96,0,240
0,0,0,0,518.4,0,1920
0,0,0,0,173.6,0,248
0,0,0,0,210,0,50
0,730,0,0,336.96,0.9,288
0,547,0,0,220.32,0,108
0,547,0,0,105.6,0,1920
0,0,0,0,9.12,0,48
0,0,0,0,2.7,0,10
0,0,1,1,13.36,0,4
0,0,6,150,77.76,0,288
0.0576,547,0,0,105.6,1.56,1920
0.086,547,7,840,105.6,1.56,1920
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0.19,547,0,0,0,0,0
0.006,547,15,1800,105.6,1.56,1920
0.2,547,8,1800,105.6,1.56,1920
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0.058,547,22,2760,105.6,1.56,1920
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0.106,547,9,1080,105.6,1.56,1920
0.096,547,17,2542,105.6,1.56,1920
0.107,547,1,60,105.6,1.56,1920
0.15,547,310,9142,105.6,1.56,1920
0,547,0,0,0,0,0
0.195,547,15,2040,105.6,1.56,1920
0.2375,547,0,0,0,0,0
0.2,547,15,2280,105.6,1.56,1920
0.04,547,12,1800,105.6,1.56,1920
0.25,547,0,0,0,0,0
0.033,547,1,780,105.6,1.56,1920
0,547,14,1360,105.6,1.56,1920
0.264,547,6,659,105.6,1.56,1920
0.17,547,0,0,0,0,0
0.2,547,3,260,105.6,1.56,1920
0,547,0,0,0,0,0
0.063,547,21,3300,105.6,1.56,1920
0,547,0,0,0,0,0
0.17,547,0,0,0,0,0
0,547,0,0,0,0,0
0.3,547,0,0,0,0,0
0.16,547,0,0,0,0,0
0.0036,547,29,2658,105.6,1.56,1920
0,547,0,0,0,0,0
0.194,547,12,1620,105.6,1.56,1920
0.135,547,0,0,105.6,1.56,1920
0.016,547,13,1140,105.6,1.56,1920
0.015,547,15,1620,105.6,1.56,1920
0.015,547,9,660,105.6,1.56,1920
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0.16,547,0,0,105.6,1.56,1920
0.057,547,0,0,0,0,0
0.18,547,0,0,0,0,0
0,547,0,0,0,0,0
0.14,547,11,1920,105.6,0,1920
0.12,547,11,1920,105.6,0,1920
0.144,547,0,0,105.6,1.56,1920
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0.048,547,0,0,105.6,1.56,1920
0.15,547,0,0,105.6,1.56,1920
0.25,547,0,0,0,0,0
0.24,547,1,1,0,0,0
0.2375,547,109,1950,105.6,0,1920
0.13,547,85,3945,105.6,0,1920
0,547,0,0,0,0,0
0.22,547,17,3000,79.2,0,1440
0,547,0,0,0,0,0
0,547,83,3365,105.6,0,1920
0.26,547,73,960,0,0,0
0,547,0,0,0,0,0
0.18,547,4,660,96,0,1920
0.133,547,70,1535,105.6,1.56,1920
0,547,0,0,0,0,0
0.17,547,88,4490,105.6,0,1920
0,547,0,0,0,0,0
0.2,547,90,3468,105.6,0,1920
0.21,547,84,3860,79.2,0,1440
0,547,0,0,0,0,0
0.19,547,12,1920,105.6,0,1920
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0.15,547,1,120,105.6,1.56,1920
0,547,5,900,105.6,0,1920
0.2,547,53,2315,105.6,0,1920
0.175,547,0,0,0,0,0
0.14,547,10,1920,105.6,0,1920
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0.15,547,0,0,105.6,1.56,1920
0.18,547,9,1180,98,0.36,1920
1.881,730,5071,13432,336.96,0.9,288
0.375,730,806,6840,352.8,0.6,1440
0,730,0,0,362.88,0,3456
0.225,730,0,0,362.88,0,3456
0,547,0,0,0,0,0
0.39,730,2333,16707,352.8,0.06,1440
0.49,0,0,0,0,0,0
0.37,730,989,7509,352.8,0.6,1440
0.34,730,170,1312,352.8,0.6,1440
0.35,730,1158,8547,352.8,0.6,1440
0.353,730,81,388,352.8,0.6,1440
0.35,730,200,1390,352.8,0.6,1440
0.41,730,357,2676,352.8,0.6,1440
0.598,730,572,8001,352.8,0.6,1440
0.37,730,278,2290,352.8,0.6,1440
0.38,730,5,50,352.8,0.6,1440
0,730,0,0,0,0,0
5.27,365,273,414,66.96,0.94,216
5.611,365,121,181,167.68,1,384
0,730,0,0,0,0,0
0.87,547,5333,19843,167.68,1,384
0.858,547,2902,7784,167.68,1,384
0.896,547,1386,4041,167.68,1,384
0.84,547,1200,2570,167.68,1,384
0.969,547,2195,5687,167.68,1,384
0.899,547,4277,14018,167.68,1,384
1,547,2384,5789,167.68,1,384
1.24,547,2313,5201,167.68,1,384
0.94,547,1051,2524,167.68,1,384
0.877,547,5099,18645,167.68,1,384
0.83,547,4725,14656,167.68,1,384
0.88,547,2397,5188,167.68,1,384
0.82,547,3564,10013,167.68,1,384
0.794,547,3551,10209,167.68,1,384
0.939,547,4256,13653,167.68,1,384
0.99,547,4720,14854,167.68,1,384
0.79,547,4181,11732,167.68,1,384
0.87,547,1068,2819,167.68,1,384
0.821,547,724,2296,167.68,1,384
0.747,547,1432,4093,167.68,1,384
0.9,547,991,2820,167.68,1,384
0.84,547,1613,4569,167.68,1,384
0.837,547,3921,11679,167.68,1,384
0.86,547,3283,10523,167.68,1,384
0.8,547,5497,19560,167.68,1,384
0.86,547,2506,6900,167.68,1,384
1.03,547,468,1926,167.68,1,384
0.924,547,1433,3550,167.68,1,384
0.76,547,4469,15154,167.68,1,384
0.94,547,766,1923,167.68,1,384
0.9,547,1622,4534,167.68,1,384
0.826,547,5655,26125,167.68,1,384
0.978,547,1728,4567,167.68,1,384
0.91,547,2656,7782,167.68,1,384
0.581,730,1596,16782,167.68,1,384
0.66,730,443,3717,167.68,1,384
0,730,0,0,476.928,0,1152
0.9,547,1185,4051,167.68,1,384
0.92,547,1282,4668,167.68,1,384
0,547,0,0,159.36,0,384
0.91,547,815,1918,167.68,1,384
0.981,547,692,2299,167.68,1,384
1.04,547,98,301,167.68,1,384
1.05,547,140,286,167.68,1,384
0.81,547,548,1647,167.68,1,384
0.82,547,597,1626,167.68,1,384
1.069,547,878,2628,167.68,1,384
0.81,547,552,1386,167.68,1,384
0.894,547,457,1119,167.68,1,384
0.98,547,2090,8536,167.68,1,384
0.916,547,2430,8422,167.68,1,384
1.034,547,457,1271,167.68,1,384
0.727,547,608,1734,167.68,1,384
0.94,0,0,0,0,0,0
0.936,547,535,1412,167.68,1,384
0.928,547,918,3004,167.68,1,384
0.942,547,550,1431,167.68,1,384
1.08,547,872,2598,167.68,1,384
1.089,547,233,594,167.68,1,384
0.936,547,2449,8765,167.68,1,384
0.6,730,43,180,187.392,1,384
0.568,730,17,59,187.392,1,384
0.54,730,240,2039,187.392,1,384
0.51,730,860,7920,187.392,1,384
0.57,730,1,6,0,0,0
0.56,730,480,3401,187.392,1,384
0.64,730,0,0,0,0,0
0.52,730,461,3316,187.392,1,384
0.56,730,843,7260,180.48,1,384
0,730,0,0,0,0,0
0,730,0,0,0,0,0
0,730,0,0,0,0,0
0.19,547,33,990,907.2,0.495,2025
0,547,0,0,197.76,0,384
0,547,0,0,197.76,0,384
1.042,547,3085,7886,207.68,1,384
0.976,547,158,450,207.68,1,384
1.137,547,1061,2207,207.68,1,384
1.11,547,456,862,207.68,1,384
0.954,547,411,765,207.68,1,384
0.934,547,46,142,207.68,1,384
1.29,547,841,1506,207.68,1,384
0,547,0,0,197.76,0,384
1.143,547,552,1010,207.68,1,384
0,547,0,0,197.76,0,384
0,547,0,0,197.76,0,384
0,547,0,0,197.76,0,384
1.07,547,362,899,207.68,1,384
0,547,0,0,197.76,0,384
0.962,547,343,1370,207.68,1,384
0.992,547,4218,11574,207.68,1,384
0.998,547,2052,4072,207.68,1,384
0.59,547,98,500,777.6,0.4,1440
0,547,0,0,197.76,0,384
1.05,547,903,1863,207.68,1,384
0.975,547,0,0,207.68,1,384
0,547,0,0,197.76,0,384
0,547,0,0,0,0,0
0,547,0,0,0,0,0
1.13,547,1803,3849,207.68,1,384
0.965,547,3788,8291,207.68,1,384
0.98,547,2731,5544,207.68,1,384
0,547,0,0,197.76,0,384
1.13,547,159,629,207.68,1,384
1.08,547,2,5,207.68,1,384
1.575,547,0,0,207.68,1,384
1.34,547,202,411,207.68,1,384
1.129,547,246,592,207.68,1,384
1.367,547,1299,3611,207.68,1,384
1.06,547,1257,4333,207.68,1,384
0.99,547,629,1482,207.68,1,384
1.74,0,0,0,0,0,0
1.83,0,0,0,0,0,0
1.62,0,0,0,0,0,0
1.95,0,0,0,0,0,0
1.78,0,2,41,147.6,0,180
2.04,0,0,0,147.6,1.17,180
1.98,0,0,0,147.6,1.17,180
1.6,0,68,925,147.6,0,180
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.5,365,1143,26411,147.6,1.17,180
1.23,0,140,2535,147.6,0,180
0,0,0,0,0,0,0
1.3,547,165,3710,147.6,1.17,180
1.42,0,100,2324,147.6,1.17,180
1.9875,0,0,0,0,0,0
1.98,0,34,1071,147.6,0,180
1.35,365,728,17953,147.6,1.17,180
1.6,0,0,0,147.6,0,180
1.34,0,354,10785,147.6,1.17,180
1.65,547,860,2027,147.6,1.17,180
1.7244,0,0,0,147.6,1.17,180
1.79,0,0,0,148,1.17,180
1.58,365,195,4354,147.6,1.17,180
1.36,547,4718,14211,147.6,1.17,180
1.63,547,1212,2419,147.6,1.17,180
1.58,547,1029,1678,147.6,1.17,180
1.61,547,1923,3913,147.6,1.17,180
0,547,0,0,147.6,0,180
1.53,547,3231,8747,147.6,1.17,180
1.35,547,2238,3762,147.6,1.17,180
0,547,0,0,147.6,0,180
1.8375,547,3,5,147.6,0,180
1.331,547,341,1015,147.6,1.17,180
1.51,547,5,167,147.6,1.17,180
1.391,547,109,216,147.6,1.17,180
2.41,547,0,0,198,1.02,180
0,547,0,0,0,0,0
1.86,0,0,0,198,1.02,180
0,547,0,0,0,0,0
1.75,547,693,1352,198,1.02,180
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0,547,0,0,0,0,0
1.8,0,0,0,0,1.1,180
1.97,365,0,0,198,1.02,180
1.67,0,0,0,0,0,0
1.698,547,973,2809,198,1.02,180
1.578,547,1153,3186,198,1.02,180
0,547,0,0,0,0,0
1.932,547,91,564,198,1.02,180
1.59,547,923,2737,198,1.02,180
0,547,0,0,0,0,0
1.682,547,1344,2489,198,1.02,180
1.5,547,3,75,183.6,0,180
0,547,0,0,0,0,0
1.72,547,5,156,198,1.02,180
0,547,0,0,0,0,0
1.88,730,1739,2933,336.96,0.9,288
1.72,730,890,1472,336.96,0.9,288
1.95,730,4702,9221,336.96,0.9,288
1.65,730,2766,4763,336.96,0.9,288
1.789,730,5559,13924,336.96,0.9,288
1.57,730,2476,3907,336.96,0.9,288
2.04,730,2760,4809.7,336.96,0.9,288
1.8,730,778,1198,336.96,0.9,288
1.829,730,1461,2335,336.96,0.9,288
1.85,730,3130,6591,336.96,0.9,288
1.85,730,2278,4413,336.96,0.9,288
1.818,730,3154,6142,336.96,0.9,288
0,730,0,0,0,0,0
1.74,730,1696,2909,336.96,0.9,288
1.76,730,2346,5210,336.96,0.9,288
1.96,730,1447,2573,336.96,0.9,288
1.82,730,4314,9808,336.96,0.9,288
1.76,730,2409,4410,336.96,0.9,288
1.857,730,1055,1696,336.96,0.9,288
1.742,730,2774,4351,336.96,0.9,288
2.21,730,0,0,349.2,0.9,288
0.1963,730,0,0,362.88,0,3456
1.93,730,498,1004,348.48,0.9,288
1.91,730,579,1062,348.48,0.9,288
0.2125,730,0,0,362.88,0,3456
2.07,730,360,646,349.2,0.9,288
0,730,0,0,0,0,0
0,730,0,0,0,0,0
0.25,730,0,0,380.16,0,3456
0,730,0,0,362.88,0,3456
1.81,730,311,527,348.48,0.9,288
0,730,0,0,362.88,0,3456
1.9,730,444,815,348.48,0.9,288
1.95,730,1552,2635,349.2,0.9,288
0.22,730,0,0,362.88,0,3456
0,730,0,0,0,0,0
0,730,0,0,0,0,0
0,730,0,0,0,0,0
2.69,547,0,0,165.78,1.02,108
2.5,547,92,236,165.78,1.02,108
2.592,547,1814,3783,165.78,1.02,108
0,547,0,0,165.78,0,108
2.4,547,3263,7361,165.78,1.02,108
2.39,547,543,908,165.78,1.02,108
2.502,547,836,1262,165.78,1.02,108
2.515,547,494,895,165.78,1.02,108
2.385,547,1180,2392,165.78,1.02,108
2.201,547,253,772,165.78,0,108
2.28,547,890,1767,165.78,1.02,108
2.263,547,1984,4360,165.78,1.02,108
2.239,547,68,345,165.78,1.02,108
2.318,547,395,639,165.78,1.02,108
2.063,547,1010,1917,165.78,1.02,108
2.318,547,4580,12219,165.78,1.02,108
2.345,547,989,1879,165.78,1.02,108
2.263,547,1568,3297,165.78,1.02,108
2.259,547,1200,2489,165.78,1.02,108
2.37,547,1039,2181,165.78,1.02,108
2.357,547,2920,7774,165.78,1.02,108
2.32,547,938,1701,165.78,1.02,108
2.205,547,778,1566,165.78,1.02,108
2.48,547,0,0,165.78,0,108
2.355,547,693,1286,165.78,1.02,108
2.25,547,450,866,165.78,1.02,108
2.19,547,1072,2170,165.78,1.02,108
0,730,0,0,348,1.05,288
2.35,547,1006,2272,165.78,1.02,108
2.724,547,700,1371,165.78,1.02,108
0,547,0,0,165.78,0,108
2.59,547,659,1034,165.78,1.02,108
2.362,547,3244,6334,165.78,1.02,108
2.39,547,2061,3413,165.78,1.02,108
2.7,547,38,81,165.78,0,108
2.63,547,0,0,165.78,1.02,108
2.41,547,1,3,165.78,1.02,108
2.343,730,1123,2219,443.52,1.05,288
2.42,730,821,1398,443.52,1.05,288
2.6,547,1,1,165.78,1.02,108
3.456,730,0,0,443.52,1.05,288
0,547,0,0,165.78,0,108
2.39,547,1272,3747,165.78,1.02,108
2.33,547,1487,3951,165.78,1.02,108
2.448,547,3495,12427,165.78,1.02,108
2.294,547,1642,3859,165.78,1.02,108
2.296,547,1940,5123,165.78,1.02,108
2.24,547,0,0,165.78,0,108
2.438,547,1197,2287,165.78,1.02,108
2.701,547,961,2084,165.78,1.02,108
2.282,547,174,284,165.78,1.02,108
3.206,547,269,417,165.78,1.02,108
2.616,547,583,1440,165.78,1.02,108
2.38,547,1023,2155,165.78,1.02,108
2.595,547,1192,2818,165.78,1.02,108
2.23,547,460,910,165.78,1.02,108
2.435,547,257,670,165.78,1.02,108
2.591,547,373,738,165.78,1.02,108
2.653,547,730,1375,165.78,1.02,108
2.786,547,1108,2080,165.78,1.02,108
2.53,547,429,976,165.78,1.02,108
2,547,999,2359,165.78,1.02,108
2.587,547,1364,2791,165.78,1.02,108
2.95,547,0,0,165.78,0,108
2.875,547,0,0,165.78,0,108
3.277,547,206,528,165.78,1.02,108
2.571,547,428,994,165.78,1.02,108
3.323,547,473,876,165.78,1.02,108
3.09,547,374,789,165.78,1.02,108
2.45,547,462,831,165.78,1.02,108
0,547,0,0,165.78,0,108
0,547,0,0,165.78,0,108
0,547,0,0,165.78,0,108
0,547,0,0,325.12,0,32
16.7375,547,0,0,321.6,0,32
12.949,547,1778,2563,325.12,0.8,32
12.854,547,167,247,325.12,0.8,32
12.049,547,398,689,325.12,0.8,32
12.517,547,2358,3139,325.12,0.8,32
12.794,547,73,106,325.12,0.8,32
13.88,0,0,0,0,0,0
11.941,547,88,141,325.12,0.8,32
14.78,547,278,384,325.12,0.8,32
12.584,547,1558,2063,325.12,0.8,32
12.353,547,764,960,325.12,0.8,32
11.579,547,631,922,325.12,0.8,32
13.289,547,202,258,325.12,0.8,32
12.716,547,2387,3376,325.12,0.8,32
10.807,547,1016,1551,325.12,0.8,32
11.917,547,187,250,325.12,0.8,32
10.93,547,1501,2240,325.12,0.8,32
12.685,547,2888,4338,325.12,0.8,32
11.787,547,397,628,325.12,0.8,32
13.152,547,247,470,325.12,0.8,32
12.39,547,1,31,325.12,0.8,32
11.795,547,2685,4086,325.12,0.8,32
11.577,547,6325,12218,325.12,0.8,32
12.689,547,318,801,325.12,0.8,32
12.585,547,264,397,325.12,0.8,32
9.38,547,86,135,325.12,0.8,32
0,547,0,0,325.12,0,32
15.81,547,0,0,325.12,0,32
10.063,547,163,294,325.12,0.8,32
11.801,547,712,999,325.12,0.8,32
12.249,547,996,1555,325.12,0.8,32
12.301,547,246,261,325.12,0.8,32
11.84,547,39,70,325.12,0.8,32
10.947,547,41,44,325.12,0.8,32
0,547,0,0,325.12,0,32
14.402,547,21,57,325.12,0.8,32
0,547,0,0,325.12,0,32
13.194,365,146,309,404.64,1.2,36
13.354,365,233,596,441.72,1.44,36
15.808,365,154,387,515.34,1.68,42
0,365,0,0,0,0,0
16.201,365,403,766,515.34,1.68,42
0,365,0,0,0,0,0
15.04,365,0,0,0,0,0
0,365,0,0,0,0,0
15.318,365,448,924,515.34,1.68,42
14.919,365,944,2578,515.34,1.68,42
